TITLE MODEL,COLOR,SIZE,PRICE,PRICE_DISCOUNT,STOCK,EAN,SKU,PARENT_SKU,GENDER,CATEGORY,BRAND,COLOR MAPPING,SEASON,UPPER,LINING,INSOLE,OUTSOLE,MADE IN,CLOSURE TYPE,HEEL HEIGHT,PLATFORM HEIGHT,UPPER HEIGHT,LICENCE,TYPE OF TOE,OTHER DETAILS,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8
Women's Ana Big Buckle Suede Sandals,Burgundy,40,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-40,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,39,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-39,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,41,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-41,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,36,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-36,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_b383869c-b1b5-477c-8d0c-ecfbade2f1a4.3e3deafd9e9f4c2a849c8f83df91dee1.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/a2077d67-7a8c-47e7-a5df-4181e98a402d.bac9b59546dd72fb21b789159309ad29.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,38,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-38,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,37,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-37,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,42,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-42,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Burgundy,35,142.8,128.52,50,7.09386E+11,ana-suede-burgundy-big-buckle-black-35,Ana Suede,Mujer,Sandals,Menina Step,Bone,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_6836237a-0108-43b9-a613-488fd2ba797d.955d87a689c77f14aaf19b547afe4078.jpeg,https://i5.walmartimages.com/asr/b63734c3-5d90-48b1-a224-2c9ed9e33acf.259d0a5cb171a4f4f273a56f777e4edd.jpeg,https://i5.walmartimages.com/asr/2fec2124-3359-4ea4-ab48-8708cb958ec0.341d59785688c531959897daa243cddd.jpeg,https://i5.walmartimages.com/asr/e6ace4ea-bf93-49e1-becc-4c08601c5911.2ceb8b3f30fc49f59adad59b065c481f.jpeg,,,,
Women's Ana Big Buckle Suede Sandals,Camel,36,142.8,128.52,50,7.09386E+11,ana-suede-camel-big-buckle-black-36,Ana Suede,Mujer,Sandals,Menina Step,Metallic,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_c8e95337-76fb-45f0-8bd2-895dec3ccfa5.6f1b52b48c3a2c758c3c51dd6adac1a3.jpeg,https://i5.walmartimages.com/asr/014edc5c-58c3-48bd-827d-30ec5107519e.dfe970d11668bbbe599170900cd7f72a.jpeg,https://i5.walmartimages.com/asr/e124a34b-bcf1-4dec-a1f3-8113afd85ff1.f4d0c528162ec37f3dc2b0ea62871491.jpeg,https://i5.walmartimages.com/asr/10a84409-94c3-43fe-ad54-ec79558998d1.6b1102a40ece0a885823da8ccffdf055.jpeg,https://i5.walmartimages.com/asr/014edc5c-58c3-48bd-827d-30ec5107519e.dfe970d11668bbbe599170900cd7f72a.jpeg,,,
Women's Ana Big Buckle Suede Sandals,Camel,39,142.8,128.52,50,7.09386E+11,ana-suede-camel-big-buckle-black-39,Ana Suede,Mujer,Sandals,Menina Step,Metallic,,Faux Leather,Faux Leather,Faux Leather,,Spain,,,,,,,,https://i5.walmartimages.com/seo/Woomen-s-Ana-Suede-Big-Buckle-Sandals_c8e95337-76fb-45f0-8bd2-895dec3ccfa5.6f1b52b48c3a2c758c3c51dd6adac1a3.jpeg,https://i5.walmartimages.com/asr/014edc5c-58c3-48bd-827d-30ec5107519e.dfe970d11668bbbe599170900cd7f72a.jpeg,https://i5.walmartimages.com/asr/e124a34b-bcf1-4dec-a1f3-8113afd85ff1.f4d0c528162ec37f3dc2b0ea62871491.jpeg,https://i5.walmartimages.com/asr/10a84409-94c3-43fe-ad54-ec79558998d1.6b1102a40ece0a885823da8ccffdf055.jpeg,https://i5.walmartimages.com/asr/014edc5c-58c3-48bd-827d-30ec5107519e.dfe970d11668bbbe599170900cd7f72a.jpeg,,,
